City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Bredasdorp,ZA,2021-10-24 21:57:38,-34.5322,20.0403,49.32,81,0,4.61,clear sky
117,San Policarpo,PH,2021-10-24 21:57:38,12.1791,125.5072,79.74,81,100,7.99,overcast clouds
118,Yellowknife,CA,2021-10-24 21:57:39,62.456,-114.3525,41.56,85,75,19.57,broken clouds
119,Esperance,AU,2021-10-24 21:57:39,-33.8667,121.9,67.84,40,100,8.23,overcast clouds
120,Zhigansk,RU,2021-10-24 21:57:40,66.7697,123.3711,19.17,96,97,5.66,overcast clouds
121,Katangli,RU,2021-10-24 21:57:40,51.7102,143.2326,32.68,83,56,7.87,broken clouds
122,Shambu,ET,2021-10-24 21:57:41,9.5667,37.1,51.01,67,20,3.62,few clouds
123,Novobirilyussy,RU,2021-10-24 21:57:41,56.9514,90.6661,40.21,92,81,8.9,broken clouds
124,Khatanga,RU,2021-10-24 21:54:18,71.9667,102.5,0.43,89,77,16.55,broken clouds
125,Lodja,CD,2021-10-24 21:53:34,-3.4833,23.4333,70.29,99,76,1.32,broken clouds
126,Svetlaya,RU,2021-10-24 21:57:42,46.5389,138.3297,42.96,64,0,5.46,clear sky
127,Sayyan,YE,2021-10-24 21:57:42,15.1718,44.3244,53.85,25,34,2.86,scattered clouds
128,Mandera,KE,2021-10-24 21:57:43,3.9366,41.867,84.38,52,5,16.44,clear sky
129,Cherskiy,RU,2021-10-24 21:53:04,68.75,161.3,-15.74,99,25,4.63,scattered clouds
130,Oistins,BB,2021-10-24 21:55:33,13.0667,-59.5333,80.69,83,75,12.66,broken clouds
131,Gao,ML,2021-10-24 21:57:44,16.6362,1.637,91.42,21,83,6.13,broken clouds
132,Hokitika,NZ,2021-10-24 21:57:44,-42.7167,170.9667,60.58,83,95,5.97,overcast clouds
133,Hithadhoo,MV,2021-10-24 21:56:44,-0.6,73.0833,82.22,75,69,15.57,broken clouds
134,Hastings,GB,2021-10-24 21:57:45,50.8552,0.5729,59.29,92,100,17.34,overcast clouds
135,Ancud,CL,2021-10-24 21:54:03,-41.8697,-73.8203,56.43,86,86,16.75,overcast clouds
136,Ambilobe,MG,2021-10-24 21:57:45,-13.2,49.05,75.96,78,87,5.86,overcast clouds
137,Luderitz,NA,2021-10-24 21:53:33,-26.6481,15.1594,59.32,70,0,3.18,clear sky
138,Port Elizabeth,ZA,2021-10-24 21:53:00,-33.918,25.5701,53.89,87,40,2.3,scattered clouds
139,Thompson,CA,2021-10-24 21:57:06,55.7435,-97.8558,32.16,80,90,2.3,overcast clouds
140,Kaitangata,NZ,2021-10-24 21:56:04,-46.2817,169.8464,58.73,73,100,3.06,overcast clouds
141,Avarua,CK,2021-10-24 21:56:47,-21.2078,-159.775,77.05,61,40,13.8,scattered clouds
142,Parasia,IN,2021-10-24 21:57:47,22.2,78.7667,63.84,60,1,4.54,clear sky
143,Salalah,OM,2021-10-24 21:57:47,17.0151,54.0924,76.08,77,84,3.22,broken clouds
144,Mayor Pablo Lagerenza,PY,2021-10-24 21:57:48,-19.9309,-60.7718,82.17,22,3,7.58,clear sky
145,Massaguet,TD,2021-10-24 21:57:48,12.4755,15.4365,86.04,25,11,7.29,few clouds
146,Bucovat,RO,2021-10-24 21:57:49,44.3,23.75,46.35,85,0,6.91,clear sky
147,Ribeira Grande,PT,2021-10-24 21:53:25,38.5167,-28.7,66.69,72,10,9.08,clear sky
148,Tokur,RU,2021-10-24 21:57:50,53.1333,132.9,20.5,96,63,3.53,broken clouds
149,Mar Del Plata,AR,2021-10-24 21:57:50,-38.0023,-57.5575,68.02,30,0,17.27,clear sky
150,Gubkinskiy,RU,2021-10-24 21:57:51,64.434,76.5026,23.81,89,37,15.59,scattered clouds
151,Pyu,MM,2021-10-24 21:57:51,18.4833,96.4333,72.03,97,96,3.27,overcast clouds
152,Chicama,PE,2021-10-24 21:53:23,-7.8447,-79.1469,63.14,68,17,9.17,few clouds
153,Tuktoyaktuk,CA,2021-10-24 21:54:01,69.4541,-133.0374,30.2,93,75,3.44,broken clouds
154,Koslan,RU,2021-10-24 21:57:52,63.4564,48.8989,28.29,78,99,7.72,overcast clouds
155,Saint George,US,2021-10-24 21:54:24,37.1041,-113.5841,75.67,31,1,3.0,clear sky
156,Cururupu,BR,2021-10-24 21:57:53,-1.8283,-44.8683,78.04,84,22,3.89,few clouds
157,Cedar City,US,2021-10-24 21:57:53,37.6775,-113.0619,58.39,44,97,13.15,overcast clouds
158,Bosaso,SO,2021-10-24 21:57:53,11.2842,49.1816,79.59,62,0,5.26,clear sky
159,Great Yarmouth,GB,2021-10-24 21:57:54,52.6083,1.7305,56.23,90,98,15.28,overcast clouds
160,Atar,MR,2021-10-24 21:57:00,20.5169,-13.0499,85.57,19,53,3.85,broken clouds
161,Tateyama,JP,2021-10-24 21:57:55,34.9833,139.8667,55.42,59,83,10.98,broken clouds
162,Ust-Tsilma,RU,2021-10-24 21:57:55,65.441,52.1498,29.55,85,100,7.49,overcast clouds
163,Mapiripan,CO,2021-10-24 21:57:56,2.8892,-72.1256,80.01,84,100,4.56,moderate rain
164,Assiniboia,CA,2021-10-24 21:57:56,49.6334,-105.9845,40.91,87,35,11.5,scattered clouds
165,Geraldton,AU,2021-10-24 21:57:57,-28.7667,114.6,63.12,88,75,3.44,broken clouds
166,Upington,ZA,2021-10-24 21:56:08,-28.4478,21.2561,61.18,41,0,3.44,clear sky
167,Buchanan,LR,2021-10-24 21:54:00,5.8808,-10.0467,78.76,91,100,4.5,moderate rain
168,Banyumas,ID,2021-10-24 21:57:48,-7.5142,109.2942,76.48,90,99,2.33,overcast clouds
169,Peleduy,RU,2021-10-24 21:57:58,59.6289,112.7406,36.12,97,100,10.69,light rain
170,Saskylakh,RU,2021-10-24 21:57:58,71.9167,114.0833,-15.03,100,64,3.89,broken clouds
171,Bambanglipuro,ID,2021-10-24 21:57:58,-7.95,110.2833,77.79,83,88,5.5,overcast clouds
172,Kavieng,PG,2021-10-24 21:57:59,-2.5744,150.7967,83.84,71,65,10.85,broken clouds
173,Urumqi,CN,2021-10-24 21:57:59,43.801,87.6005,32.95,75,0,2.24,clear sky
174,Birjand,IR,2021-10-24 21:58:00,32.8663,59.2211,45.07,14,0,9.22,clear sky
175,Tigil,RU,2021-10-24 21:58:00,57.8,158.6667,18.61,99,82,4.38,broken clouds
176,Bambous Virieux,MU,2021-10-24 21:57:31,-20.3428,57.7575,75.22,78,40,11.5,scattered clouds
177,Vostok,RU,2021-10-24 21:58:01,46.4856,135.8833,31.71,73,1,5.01,clear sky
178,Puerto Escondido,MX,2021-10-24 21:56:26,15.85,-97.0667,83.34,74,100,4.88,overcast clouds
179,Srednekolymsk,RU,2021-10-24 21:58:02,67.45,153.6833,-4.88,94,100,1.63,overcast clouds
180,Rocha,UY,2021-10-24 21:54:37,-34.4833,-54.3333,62.67,58,8,11.56,clear sky
181,Inirida,CO,2021-10-24 21:58:03,3.8653,-67.9239,78.3,91,94,2.55,moderate rain
182,Araxa,BR,2021-10-24 21:58:04,-19.5933,-46.9406,73.36,53,0,11.5,clear sky
183,Iroquois Falls,CA,2021-10-24 21:58:04,48.7669,-80.6831,44.74,91,100,6.8,overcast clouds
184,Kemijarvi,FI,2021-10-24 21:58:05,66.7131,27.4306,26.53,96,100,3.42,overcast clouds
185,San Quintin,MX,2021-10-24 21:58:05,30.4833,-115.95,74.44,67,6,18.12,clear sky
186,Cuenca,EC,2021-10-24 21:54:39,-2.8833,-78.9833,66.33,63,75,19.57,thunderstorm
187,Raga,SS,2021-10-24 21:58:06,8.4596,25.678,73.78,82,48,2.98,scattered clouds
188,Pacific Grove,US,2021-10-24 21:58:06,36.6177,-121.9166,66.42,88,100,5.99,overcast clouds
189,Aplahoue,BJ,2021-10-24 21:58:07,6.9333,1.6833,74.95,91,51,3.85,broken clouds
190,Mount Gambier,AU,2021-10-24 21:56:14,-37.8333,140.7667,49.91,71,90,5.75,overcast clouds
191,Bluff,NZ,2021-10-24 21:58:08,-46.6,168.3333,54.43,90,96,4.32,light rain
192,La Rioja,ES,2021-10-24 21:58:08,42.25,-2.5,45.05,44,3,5.84,clear sky
193,Castlemaine,AU,2021-10-24 21:58:08,-37.0667,144.2167,51.04,60,6,12.91,clear sky
194,Ivanava,BY,2021-10-24 21:58:09,52.1451,25.5365,36.95,75,74,3.78,broken clouds
195,Port Augusta,AU,2021-10-24 21:58:02,-32.5,137.7667,59.7,42,0,6.85,clear sky
196,Tonantins,BR,2021-10-24 21:58:10,-2.8731,-67.8022,79.86,87,100,2.01,overcast clouds
197,Adrar,MR,2021-10-24 21:53:36,20.5022,-10.0711,84.18,22,22,7.07,few clouds
198,Tarko-Sale,RU,2021-10-24 21:58:10,64.9225,77.785,23.72,87,14,18.05,few clouds
199,Tamandare,BR,2021-10-24 21:58:11,-8.7597,-35.1047,77.7,75,70,9.08,broken clouds
200,Tucuman,AR,2021-10-24 21:58:11,-26.8241,-65.2226,87.8,18,0,18.41,clear sky
201,San Pedro,PH,2021-10-24 21:58:12,14.35,121.0167,78.03,87,75,2.3,broken clouds
202,Lompoc,US,2021-10-24 21:54:28,34.6391,-120.4579,71.74,73,90,8.05,overcast clouds
203,Ler,SS,2021-10-24 21:58:12,8.3018,30.1418,77.61,55,6,4.97,clear sky
204,Clyde River,CA,2021-10-24 21:58:13,70.4692,-68.5914,11.93,80,70,4.41,broken clouds
205,Sunbury,AU,2021-10-24 21:58:13,-37.5833,144.7333,53.98,77,75,5.01,broken clouds
206,Puerto Baquerizo Moreno,EC,2021-10-24 21:58:13,-0.9,-89.6,74.39,69,20,12.66,few clouds
207,Saint-Ambroise,CA,2021-10-24 21:58:14,48.5501,-71.3324,46.89,42,99,13.8,overcast clouds
208,Coquimbo,CL,2021-10-24 21:53:16,-29.9533,-71.3436,64.13,67,0,12.66,clear sky
209,Nikolskoye,RU,2021-10-24 21:58:15,59.7035,30.7861,34.88,80,85,5.66,overcast clouds
210,Bonthe,SL,2021-10-24 21:58:15,7.5264,-12.505,78.22,86,100,5.3,light rain
211,Kudat,MY,2021-10-24 21:58:16,6.8837,116.8477,75.29,100,20,1.14,few clouds
212,Bathsheba,BB,2021-10-24 21:58:16,13.2167,-59.5167,81.21,83,75,12.66,broken clouds
213,Kalabo,ZM,2021-10-24 21:58:17,-14.97,22.6814,73.04,63,99,4.34,overcast clouds
214,Naze,JP,2021-10-24 21:57:42,28.3667,129.4833,68.92,80,77,9.73,broken clouds
215,Kisangani,CD,2021-10-24 21:58:18,0.5167,25.2,70.03,100,100,1.54,light rain
216,Portland,US,2021-10-24 21:58:18,45.5234,-122.6762,58.44,87,100,3.0,overcast clouds
217,Lichinga,MZ,2021-10-24 21:58:18,-13.3128,35.2406,71.69,43,0,9.22,clear sky
218,Taoudenni,ML,2021-10-24 21:58:19,22.6783,-3.9836,87.28,17,11,10.25,few clouds
219,Sept-Iles,CA,2021-10-24 21:58:19,50.2001,-66.3821,49.05,86,90,1.01,overcast clouds
220,Tevaitoa,PF,2021-10-24 21:58:20,-16.7833,-151.5,77.68,82,100,10.54,light rain
221,Lorengau,PG,2021-10-24 21:58:20,-2.0226,147.2712,81.84,81,80,8.34,broken clouds
222,Castro,BR,2021-10-24 21:58:21,-24.7911,-50.0119,57.72,96,71,4.34,broken clouds
223,Cabedelo,BR,2021-10-24 21:58:21,-6.9811,-34.8339,81.27,74,99,8.55,overcast clouds
224,Hilo,US,2021-10-24 21:58:22,19.7297,-155.09,79.11,85,48,1.99,scattered clouds
225,Cayenne,GF,2021-10-24 21:57:59,4.9333,-52.3333,82.09,87,75,5.99,heavy intensity rain
226,Emerald,AU,2021-10-24 21:58:22,-23.5333,148.1667,77.34,64,74,0.0,broken clouds
227,Mecca,SA,2021-10-24 21:58:23,21.4267,39.8261,79.86,63,0,2.3,clear sky
228,Sur,OM,2021-10-24 21:57:54,22.5667,59.5289,81.57,60,0,12.37,clear sky
229,Surt,LY,2021-10-24 21:58:23,31.2089,16.5887,76.05,66,89,9.71,overcast clouds
230,Sotouboua,TG,2021-10-24 21:58:24,8.5667,0.9833,77.04,88,94,0.76,overcast clouds
231,Katsuura,JP,2021-10-24 21:54:45,35.1333,140.3,55.51,63,64,6.91,broken clouds
232,Kokopo,PG,2021-10-24 21:58:24,-4.352,152.2633,81.39,67,100,1.54,overcast clouds
233,Marawi,PH,2021-10-24 21:58:25,7.9986,124.2928,65.64,90,99,2.64,overcast clouds
234,Tottori,JP,2021-10-24 21:54:26,35.5,134.2333,51.87,82,75,8.05,broken clouds
235,Anadyr,RU,2021-10-24 21:58:25,64.75,177.4833,5.5,85,75,4.47,broken clouds
236,Shache,CN,2021-10-24 21:58:26,38.4167,77.2406,45.73,36,88,3.02,overcast clouds
237,Seoul,KR,2021-10-24 21:56:31,37.5683,126.9778,45.84,97,20,3.44,fog
238,Cockburn Town,TC,2021-10-24 21:54:27,21.4612,-71.1419,82.36,61,40,9.22,scattered clouds
239,Huarmey,PE,2021-10-24 21:58:27,-10.0681,-78.1522,67.59,74,8,11.56,clear sky
240,Mwene-Ditu,CD,2021-10-24 21:58:27,-7.0,23.45,66.52,98,99,8.41,moderate rain
241,Chumikan,RU,2021-10-24 21:58:28,54.7183,135.315,34.38,86,91,15.01,overcast clouds
242,San Andres,CO,2021-10-24 21:58:28,12.5847,-81.7006,86.02,79,75,6.91,broken clouds
243,Diamantino,BR,2021-10-24 21:57:52,-14.4086,-56.4461,73.89,94,100,6.06,light rain
244,Olinda,BR,2021-10-24 21:58:26,-8.0089,-34.8553,82.13,69,20,5.75,few clouds
245,Sulangan,PH,2021-10-24 21:58:29,11.1373,123.7228,82.58,76,100,4.32,overcast clouds
246,Cassilandia,BR,2021-10-24 21:58:29,-19.1133,-51.7342,67.87,91,100,1.28,overcast clouds
247,Pilar,BR,2021-10-24 21:58:30,-9.5972,-35.9567,78.73,77,98,8.5,overcast clouds
248,Roald,NO,2021-10-24 21:58:31,62.5833,6.1333,52.72,82,75,8.05,broken clouds
249,Wau,SS,2021-10-24 21:58:31,7.7029,27.9953,78.37,60,16,1.57,few clouds
250,Guerrero Negro,MX,2021-10-24 21:57:12,27.9769,-114.0611,70.47,58,0,16.71,clear sky
251,Karratha,AU,2021-10-24 21:58:32,-20.7377,116.8463,74.95,57,1,9.98,clear sky
252,Ahipara,NZ,2021-10-24 21:58:33,-35.1667,173.1667,65.98,71,16,3.6,few clouds
253,Lodwar,KE,2021-10-24 21:58:33,3.1191,35.5973,86.67,39,16,16.91,few clouds
254,Awjilah,LY,2021-10-24 21:58:34,29.1081,21.2869,74.97,30,6,11.83,clear sky
255,Beinamar,TD,2021-10-24 21:58:34,8.6698,15.3813,76.96,74,70,3.62,broken clouds
256,Bartica,GY,2021-10-24 21:58:35,6.4,-58.6167,80.92,98,100,3.27,light rain
257,Vigia Del Fuerte,CO,2021-10-24 21:58:35,6.5789,-76.8863,77.94,91,95,3.02,overcast clouds
258,Waddan,LY,2021-10-24 21:58:36,29.1614,16.139,80.01,23,99,2.37,overcast clouds
259,Farmington,US,2021-10-24 21:58:18,36.7281,-108.2187,68.86,29,18,5.99,few clouds
260,Hofn,IS,2021-10-24 21:55:08,64.2539,-15.2082,42.17,87,100,17.72,light rain
