City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Bathsheba,BB,2021-10-18 03:11:43,13.2167,-59.5167,81.21,83,40,8.05
202,Bereda,ES,2021-10-18 03:11:44,43.2686,-7.5406,67.41,79,100,4.27
203,Lidkoping,SE,2021-10-18 03:10:28,58.5052,13.1577,30.54,67,49,2.01
204,Nelson Bay,AU,2021-10-18 03:11:44,-32.7167,152.15,80.78,56,100,3.0
205,Kaitangata,NZ,2021-10-18 03:11:45,-46.2817,169.8464,57.07,56,83,6.51
206,Charters Towers,AU,2021-10-18 03:11:46,-20.1,146.2667,95.67,18,8,2.75
207,Tongliao,CN,2021-10-18 03:11:46,43.6125,122.2653,45.41,48,94,14.63
208,Thompson,CA,2021-10-18 03:08:19,55.7435,-97.8558,40.6,79,70,6.24
209,Olafsvik,IS,2021-10-18 03:11:47,64.8945,-23.7142,36.95,94,100,25.43
210,Muravlenko,RU,2021-10-18 03:11:47,63.7898,74.523,39.27,86,100,17.72
211,Makakilo City,US,2021-10-18 03:11:48,21.3469,-158.0858,80.92,61,1,12.66
212,Richards Bay,ZA,2021-10-18 03:11:48,-28.783,32.0377,59.77,84,100,14.7
213,Necochea,AR,2021-10-18 03:11:49,-38.5473,-58.7368,41.04,82,0,4.38
214,Mardin,TR,2021-10-18 03:11:49,37.3131,40.7436,49.26,82,0,2.3
215,Badarwas,IN,2021-10-18 03:11:50,24.9667,77.5667,70.72,95,100,10.38
216,Bara,NG,2021-10-18 03:11:50,10.3744,10.7288,75.42,80,63,2.84
217,Havelock,US,2021-10-18 03:11:51,34.8791,-76.9013,60.75,80,0,5.97
218,Agde,FR,2021-10-18 03:11:52,43.3108,3.4758,54.45,93,90,1.99
219,Ocos,GT,2021-10-18 03:11:52,14.5094,-92.1933,80.31,76,96,4.47
220,El Dorado,US,2021-10-18 03:11:52,38.7666,-120.5177,54.18,66,80,1.01
221,Palu,ID,2021-10-18 03:11:53,-0.8917,119.8707,91.06,56,48,3.4
222,Hay River,CA,2021-10-18 03:11:54,60.8156,-115.7999,31.3,77,26,8.12
223,Petropavlovsk-Kamchatskiy,RU,2021-10-18 03:11:54,53.0452,158.6483,36.19,100,90,8.95
224,Kamenka,RU,2021-10-18 03:11:55,51.3223,42.7678,46.72,74,99,5.7
225,Georgetown,MY,2021-10-18 03:11:55,5.4112,100.3354,86.9,72,99,0.0
226,Saldanha,ZA,2021-10-18 03:11:56,-33.0117,17.9442,55.02,72,0,14.58
227,Vaitape,PF,2021-10-18 03:11:56,-16.5167,-151.75,80.24,79,18,16.67
228,Vestmannaeyjar,IS,2021-10-18 03:11:56,63.4427,-20.2734,46.58,88,100,33.96
229,Tezu,IN,2021-10-18 03:11:57,27.9167,96.1667,88.09,49,11,2.77
230,Rio Gallegos,AR,2021-10-18 03:08:03,-51.6226,-69.2181,37.45,87,0,9.22
231,Kuntaur,GM,2021-10-18 03:11:57,13.6667,-14.8833,75.15,81,100,6.67
232,Portland,US,2021-10-18 03:09:36,45.5234,-122.6762,55.36,87,90,1.01
233,Batagay,RU,2021-10-18 03:11:58,67.6333,134.6333,7.16,81,79,2.98
234,Sobolevo,RU,2021-10-18 03:11:59,54.4299,31.8996,42.62,81,98,11.45
235,Lavrentiya,RU,2021-10-18 03:12:00,65.5833,-171.0,23.05,71,40,9.22
236,Jacqueville,CI,2021-10-18 03:11:23,5.2052,-4.4146,80.51,86,67,8.28
237,Pangody,RU,2021-10-18 03:12:01,65.85,74.4859,39.85,90,100,18.43
238,Hamilton,US,2021-10-18 03:12:01,39.1834,-84.5333,54.36,80,1,0.0
239,Inyonga,TZ,2021-10-18 03:12:02,-6.7167,32.0667,72.39,54,94,3.18
240,Cidreira,BR,2021-10-18 03:12:03,-30.1811,-50.2056,60.89,83,79,12.66
241,Woodward,US,2021-10-18 03:12:03,36.4337,-99.3904,58.23,45,1,14.97
242,Flinders,AU,2021-10-18 03:12:04,-34.5833,150.8552,80.2,49,0,5.01
243,Soller,ES,2021-10-18 03:09:39,39.7662,2.7152,61.03,90,23,1.01
244,Billings,US,2021-10-18 03:08:59,45.7833,-108.5007,58.77,46,40,10.36
245,Saint George,US,2021-10-18 03:12:05,37.1041,-113.5841,69.94,30,1,1.01
246,Riyadh,SA,2021-10-18 03:12:05,24.6877,46.7219,73.54,35,0,3.91
247,San Ramon,US,2021-10-18 03:08:21,37.7799,-121.978,56.53,86,90,1.99
248,Kodinsk,RU,2021-10-18 03:12:06,58.6881,99.1844,35.98,74,24,3.96
249,Martapura,ID,2021-10-18 03:12:06,-3.4167,114.85,82.49,78,20,6.91
250,Coahuayana,MX,2021-10-18 03:12:07,18.7333,-103.6833,78.31,87,15,1.61
251,Galle,LK,2021-10-18 03:12:07,6.0367,80.217,78.82,89,100,18.88
252,Coihaique,CL,2021-10-18 03:12:08,-45.5752,-72.0662,48.15,57,0,4.61
253,Sorong,ID,2021-10-18 03:12:08,-0.8833,131.25,83.05,79,15,4.72
254,Tuxpan,MX,2021-10-18 03:12:09,19.55,-103.4,63.9,94,5,2.28
255,Sitka,US,2021-10-18 03:12:09,57.0531,-135.33,46.29,49,90,12.66
256,Marsa Matruh,EG,2021-10-18 03:12:10,31.3525,27.2453,69.28,66,0,7.07
257,Iskateley,RU,2021-10-18 03:12:10,67.6803,53.1512,35.28,98,100,10.51
258,Mojo,ET,2021-10-18 03:12:11,8.6,39.1167,54.75,50,3,4.05
259,Yanji,CN,2021-10-18 03:12:11,42.9075,129.5078,50.05,30,97,1.7
260,Saraland,US,2021-10-18 03:12:12,30.8207,-88.0706,60.82,66,49,5.95
261,Khanpur,PK,2021-10-18 03:12:12,28.6453,70.6567,80.67,25,0,5.1
262,Taoudenni,ML,2021-10-18 03:12:12,22.6783,-3.9836,81.27,7,24,10.09
263,Vagur,FO,2021-10-18 03:12:13,61.4732,-6.8119,47.68,87,100,27.45
264,Alyangula,AU,2021-10-18 03:12:13,-13.8483,136.4192,87.57,60,74,10.96
265,Vardo,NO,2021-10-18 03:12:14,70.3705,31.1107,34.0,80,99,34.52
266,Puerto Del Rosario,ES,2021-10-18 03:12:14,28.5004,-13.8627,69.55,88,7,8.05
267,Haapiti,PF,2021-10-18 03:12:15,-17.5667,-149.8667,83.71,77,13,19.44
268,Amahai,ID,2021-10-18 03:12:16,-3.3333,128.9167,85.08,70,92,3.42
269,Yumen,CN,2021-10-18 03:12:16,40.2833,97.2,51.46,19,100,9.89
270,Klaksvik,FO,2021-10-18 03:12:17,62.2266,-6.589,49.12,81,100,27.83
271,Tiksi,RU,2021-10-18 03:12:17,71.6872,128.8694,11.53,89,99,11.68
272,Ranong,TH,2021-10-18 03:12:18,9.9658,98.6348,78.01,86,100,3.8
273,Aksha,RU,2021-10-18 03:12:18,50.2814,113.2867,35.44,52,5,8.48
274,Sechura,PE,2021-10-18 03:12:19,-5.5569,-80.8222,65.75,81,62,13.87
275,Castro Marim,PT,2021-10-18 03:12:19,37.2207,-7.4435,68.29,75,100,6.93
276,Dikson,RU,2021-10-18 03:12:20,73.5069,80.5464,30.96,99,100,6.44
277,Ewa Beach,US,2021-10-18 03:09:16,21.3156,-158.0072,82.35,61,1,18.99
278,Kavieng,PG,2021-10-18 03:12:20,-2.5744,150.7967,85.91,65,75,13.15
279,Byron Bay,AU,2021-10-18 03:12:21,-28.65,153.6167,75.15,83,98,13.42
280,Merauke,ID,2021-10-18 03:12:21,-8.4667,140.3333,86.86,68,51,11.5
281,Lere,NG,2021-10-18 03:12:22,10.387,8.5726,68.49,91,6,3.0
282,Tallahassee,US,2021-10-18 03:11:25,30.4383,-84.2807,64.63,83,1,0.0
283,Karpathos,GR,2021-10-18 03:12:23,35.507,27.2132,64.36,82,3,5.75
284,Kazerun,IR,2021-10-18 03:12:23,29.6195,51.6541,71.08,42,0,2.44
285,Caravelas,BR,2021-10-18 03:12:24,-17.7125,-39.2481,73.94,88,17,5.03
286,Iqaluit,CA,2021-10-18 03:12:24,63.7506,-68.5145,33.53,86,75,15.01
287,Tuatapere,NZ,2021-10-18 03:12:25,-46.1333,167.6833,55.04,65,71,8.43
288,Flin Flon,CA,2021-10-18 03:12:25,54.7682,-101.865,46.63,70,100,4.88
289,Vanavara,RU,2021-10-18 03:12:26,60.34,102.2797,35.94,74,98,9.1
290,Luwingu,ZM,2021-10-18 03:12:26,-10.2621,29.9271,65.89,67,82,2.28
291,Mykhaylivka,UA,2021-10-18 03:12:26,47.2724,35.2224,41.27,82,65,7.61
292,Nova Olimpia,BR,2021-10-18 03:12:27,-14.7972,-57.2881,77.2,76,95,1.63
293,Bianzhuang,CN,2021-10-18 03:12:27,34.8486,118.0447,57.0,54,83,10.76
294,Poum,NC,2021-10-18 03:12:28,-20.2333,164.0167,76.42,83,100,6.42
295,Torbay,CA,2021-10-18 03:12:28,47.6666,-52.7314,43.57,97,90,5.75
